1,0.2,250,7.06,02-608-6,6,2.00,FALSE
2,0.4,250,14.13,05-608-6,6,1.00,FALSE
3,0.4,250,14.13,05-609-6,6,3.32,FALSE
4,0.75,250,26.49,1-609-6,6,1.77,FALSE
5,0.75,250,26.49,1-610-6,6,2.95,FALSE
6,1.5,250,52.97,2-610-6,6,1.47,FALSE
7,1.5,250,52.97,2-611-6,6,3.31,FALSE
8,2.2,250,77.7,3-610-6,6,1.00,FALSE
9,2.2,250,77.7,3-611-6,6,2.25,FALSE
10,3.7,250,130.47,5-611-6,6,1.34,FALSE
11,3.7,250,130.47,5-612-6,6,1.79,FALSE
12,5.5,250,194.24,8-612-6,6,1.20,FALSE
13,5.5,250,194.24,8-613-6,6,1.81,FALSE
14,7.5,250,264.87,10-613-6,6,1.33,FALSE
15,7.5,250,264.87,10-615-6,6,1.73,FALSE
16,11,250,388.48,15-615-6,6,1.18,FALSE
17,11,250,388.48,15-616-6,6,1.33,FALSE
18,15,250,529.74,20-617-96,6,1.43,FALSE
19,18.5,250,653.35,25-617-6,6,1.16,FALSE
20,0.2,188,9.42,02-608-8,8,2.00,FALSE
21,0.4,188,18.84,05-608-8,8,1.00,FALSE
22,0.4,188,18.84,05-609-8,8,3.38,FALSE
23,0.75,188,35.32,1-609-8,8,1.80,FALSE
24,0.75,188,35.32,1-610-8,8,3.63,FALSE
25,1.5,188,70.63,2-610-8,8,1.81,FALSE
26,1.5,188,70.63,2-611-8,8,3.34,FALSE
27,2.2,188,103.99,3-610-8,8,1.24,FALSE
28,2.2,188,103.99,3-611-8,8,2.28,FALSE
29,3.7,188,174.62,5-611-8,8,1.36,FALSE
30,3.7,188,174.62,5-612-8,8,1.84,FALSE
31,5.5,188,258.98,8-612-8,8,1.24,FALSE
32,5.5,188,258.98,8-613-8,8,1.82,FALSE
33,7.5,188,353.16,10-613-8,8,1.33,FALSE
34,7.5,188,353.16,10-615-8,8,1.73,FALSE
35,11,188,517.97,15-615-8,8,1.18,FALSE
36,11,188,517.97,15-616-8,8,1.62,FALSE
37,15,188,706.32,20-616-8,8,1.19,FALSE
38,0.2,136,12.95,02-607-11,11,1.20,FALSE
39,0.2,136,12.95,02-608-11,11,2.00,FALSE
40,0.4,136,25.9,05-608-11,11,1.00,FALSE
41,0.4,136,25.9,05-609-11,11,3.05,FALSE
42,0.75,136,48.56,1-609-11,11,1.63,FALSE
43,0.75,136,48.56,1-610-11,11,3.62,FALSE
44,1.5,136,97.12,2-610-11,11,1.81,FALSE
45,1.5,136,97.12,2-611-11,11,3.35,FALSE
46,2.2,136,142.25,3-610-11,11,1.24,FALSE
47,2.2,136,142.25,3-611-11,11,2.29,FALSE
48,3.7,136,239.36,5-611-11,11,1.36,FALSE
49,3.7,136,239.36,5-613-11,11,2.62,FALSE
50,5.5,136,356.1,8-613-11,11,1.76,FALSE
51,7.5,136,485.6,10-613-11,11,1.29,FALSE
52,7.5,136,485.6,10-614-11,11,1.31,FALSE
53,11,136,712.21,15-615-11,11,1.18,FALSE
54,11,136,712.21,15-616-11,11,1.64,FALSE
55,15,136,971.19,20-616-11,11,1.21,FALSE
56,15,136,971.19,20-617-11,11,1.80,FALSE
57,18.5,136,1196.82,25-617-11,11,1.45,FALSE
58,18.5,136,1196.82,25-618-11,11,1.74,FALSE
59,22,136,1422.45,30-617-11,11,1.23,FALSE
60,22,136,1422.45,30-618-11,11,1.47,FALSE
61,30,136,1942.38,10-618-11,11,1.08,FALSE
62,30,136,1942.38,40-619-11,11,1.44,FALSE
63,37,136,2393.64,50-619-11,11,1.17,FALSE
64,37,136,2393.64,50-620-11,11,1.56,FALSE
65,45,136,2913.57,60-620-11,11,1.28,FALSE
66,45,136,2913.57,60-621-11,11,1.55,FALSE
67,55,136,3561.03,75-621-11,11,1.27,FALSE
68,55,136,3561.03,75-622-11,11,1.75,FALSE
69,75,136,4855.95,100-622-11,11,1.29,FALSE
70,0.2,115,15.3,02-607-13,13,1.20,FALSE
71,0.2,115,15.3,02-608-13,13,2.00,FALSE
72,0.4,115,30.61,05-608-13,13,1.00,FALSE
73,0.4,115,30.61,05-609-13,13,3.00,FALSE
74,0.75,115,57.39,1-609-13,13,1.60,FALSE
75,0.75,115,57.39,1-610-13,13,3.54,FALSE
76,1.5,115,114.78,2-610-13,13,1.77,FALSE
77,1.5,115,114.78,2-611-13,13,3.24,FALSE
78,2.2,115,168.73,3-610-13,13,1.21,FALSE
79,2.2,115,168.73,3-611-13,13,2.22,FALSE
80,3.7,115,283.51,5-612-13,13,1.32,FALSE
81,3.7,115,283.51,5-613-13,13,1.35,FALSE
82,5.5,115,420.85,8-613-13,13,1.67,FALSE
83,7.5,115,573.89,10-613-13,13,1.23,FALSE
84,7.5,115,573.89,10-615-13,13,1.37,FALSE
85,11,115,841.7,15-616-13,13,1.54,FALSE
86,11,115,841.7,15-617-13,13,2.43,FALSE
87,15,115,1147.77,20-616-13,13,1.13,FALSE
88,15,115,1147.77,20-617-13,13,1.78,FALSE
89,18.5,115,1412.64,25-617-13,13,1.44,FALSE
90,18.5,115,1412.64,25-618-13,13,1.79,FALSE
91,22,115,1687.32,30-617-13,13,1.21,FALSE
92,22,115,1687.32,30-618-13,13,1.50,FALSE
93,30,115,2295.54,40-618-13,13,1.10,FALSE
94,30,115,2295.54,40-619-13,13,1.33,FALSE
95,37,115,2835.09,50-619-13,13,1.08,FALSE
96,0.2,100,17.66,02-607-15,15,1.20,FALSE
97,0.2,100,17.66,02-608-15,15,2.00,FALSE
98,0.4,100,35.32,05-608-15,15,1.00,FALSE
99,0.4,100,35.32,05-609-15,15,2.62,FALSE
100,0.75,100,66.22,1-609-15,15,1.40,FALSE
101,0.75,100,66.22,1-610-15,15,3.65,FALSE
102,1.5,100,132.44,2-610-15,15,1.83,FALSE
103,1.5,100,132.44,2-611-15,15,3.23,FALSE
104,2.2,100,194.24,3-610-15,15,1.24,FALSE
105,2.2,100,194.24,3-611-15,15,2.20,FALSE
106,3.7,100,326.67,5-611-15,15,1.31,FALSE
107,3.7,100,326.67,5-612-15,15,1.34,FALSE
108,5.5,100,485.6,8-613-15,15,1.39,FALSE
109,5.5,100,485.6,8-614-15,15,1.66,FALSE
110,7.5,100,662.18,10-613-15,15,1.02,FALSE
111,7.5,100,662.18,10-614-15,15,1.22,FALSE
112,11,100,971.19,15-616-15,15,1.36,FALSE
113,11,100,971.19,20-617-15,15,2.08,FALSE
114,15,100,1324.35,20-616-15,15,1.00,FALSE
115,15,100,1324.35,20-617-15,15,1.53,FALSE
116,18.5,100,1638.27,25-617-15,15,1.24,FALSE
117,18.5,100,1638.27,25-618-15,15,1.64,FALSE
118,22,100,1942.38,30-617-15,15,1.04,FALSE
119,22,100,1942.38,30-618-15,15,1.38,FALSE
120,30,100,2648.7,40-618-15,15,1.01,FALSE
121,30,100,2648.7,40-618-15,15,1.42,FALSE
122,37,100,3266.73,50-619-15,15,1.15,FALSE
123,37,100,3266.73,50-620-15,15,1.57,FALSE
124,45,100,3973.05,60-620-15,15,1.29,FALSE
125,45,100,3973.05,60-621-15,15,1.58,FALSE
126,55,100,4855.95,75-621-15,15,1.30,FALSE
127,55,100,4855.95,75-622-15,15,1.64,FALSE
128,75,100,6621.75,100-622-15,15,1.20,FALSE
129,0.2,88,20.01,02-607-17,17,1.20,FALSE
130,0.2,88,20.01,02-608-17,17,2.00,FALSE
131,0.4,88,40.02,05-608-17,17,1.00,FALSE
132,0.4,88,40.02,05-609-17,17,2.68,FALSE
133,0.75,88,75.05,1-609-17,17,1.43,FALSE
134,0.75,88,75.05,1-610-17,17,2.79,FALSE
135,1.5,88,150.09,2-610-17,17,1.39,FALSE
136,1.5,88,150.09,2-611-17,17,3.12,FALSE
137,2.2,88,219.74,3-611-17,17,2.13,FALSE
138,3.7,88,369.84,5-611-17,17,1.26,FALSE
139,3.7,88,369.84,5-612-17,17,1.34,FALSE
140,5.5,88,550.34,8-613-17,17,1.28,FALSE
141,5.5,88,550.34,8-614-17,17,1.65,FALSE
142,7.5,88,750.47,10-614-17,17,1.21,FALSE
143,7.5,88,750.47,10-616-17,17,2.00,FALSE
144,11,88,1098.72,15-616-17,17,1.36,FALSE
145,11,88,1098.72,15-617-17,17,1.75,FALSE
146,15,88,1500.93,20-616-17,17,1.00,FALSE
147,15,88,1500.93,20-617-17,17,1.29,FALSE
148,18.5,88,1854.09,25-617-17,17,1.04,FALSE
149,18.5,88,1854.09,25-618-17,17,1.62,FALSE
150,22,88,2197.44,30-618-17,17,1.36,FALSE
151,22,88,2197.44,30-619-17,17,1.95,FALSE
152,30,88,3001.86,40-618-17,17,1.00,FALSE
153,30,88,3001.86,40-619-17,17,1.43,FALSE
154,37,88,3698.37,50-619-17,17,1.16,FALSE
155,0.2,71,24.72,02-607-21,21,1.00,FALSE
156,0.2,71,24.72,02-608-21,21,2.00,FALSE
157,0.4,71,49.44,05-608-21,21,1.00,FALSE
158,0.4,71,49.44,05-609-21,21,2.48,FALSE
159,0.75,71,92.7,1-609-21,21,1.32,FALSE
160,0.75,71,92.7,1-610-21,21,2.69,FALSE
161,1.5,71,185.41,2-610-21,21,1.35,FALSE
162,1.5,71,185.41,2-611-21,21,2.69,FALSE
163,2.2,71,271.74,3-611-21,21,1.83,FALSE
164,3.7,71,457.15,5-611-21,21,1.09,FALSE
165,3.7,71,457.15,5-613-21,21,1.64,FALSE
166,5.5,71,679.83,8-613-21,21,1.10,FALSE
167,5.5,71,679.83,8-614-21,21,1.22,FALSE
168,7.5,71,927.05,10-616-21,21,1.76,FALSE
169,11,71,1363.59,15-616-21,21,1.20,FALSE
170,11,71,1363.59,15-617-21,21,1.68,FALSE
171,15,71,1854.09,20-617-21,21,1.23,FALSE
172,15,71,1854.09,20-618-21,21,1.79,FALSE
173,18.5,71,2285.73,25-617-21,21,1.00,FALSE
174,18.5,71,2285.73,25-618-21,21,1.45,FALSE
175,22,71,2717.37,30-618-21,21,1.22,FALSE
176,22,71,2717.37,30-619-21,21,1.64,FALSE
177,30,71,3708.18,40-619-21,21,1.20,FALSE
178,30,71,3708.18,40-620-21,21,1.54,FALSE
179,37,71,4571.46,50-619-21,21,1.00,FALSE
180,37,71,4571.46,50-620-21,21,1.25,FALSE
181,45,71,5562.27,60-620-21,21,1.03,FALSE
182,45,71,5562.27,60-621-21,21,1.58,FALSE
183,55,71,6798.33,75-621-21,21,1.30,FALSE
184,55,71,6798.33,75-622-21,21,1.64,FALSE
185,0.2,60,29.43,02-608-25,25,1.25,FALSE
186,0.2,60,29.43,02-609-25,25,3.75,FALSE
187,0.4,60,58.86,05-609-25,25,1.88,FALSE
188,0.75,60,110.85,1-609-25,25,1.00,FALSE
189,0.75,60,110.85,1-610-25,25,1.92,FALSE
190,1.5,60,220.73,2-611-25,25,2.13,FALSE
191,2.2,60,323.73,3-611-25,25,1.45,FALSE
192,2.2,60,323.73,3-612-25,25,1.52,FALSE
193,3.7,60,544.46,5-613-25,25,1.37,FALSE
194,3.7,60,544.46,5-614-25,25,1.58,FALSE
195,5.5,60,809.33,8-614-25,25,1.06,FALSE
196,5.5,60,809.33,8-615-25,25,1.22,FALSE
197,7.5,60,1108.53,10-616-25,25,1.55,FALSE
198,7.5,60,1108.53,10-617-25,25,2.07,FALSE
199,11,60,1618.65,15-616-25,25,1.05,FALSE
200,11,60,1618.65,15-617-25,25,1.41,FALSE
201,15,60,2207.25,15-618-25,25,1.03,FALSE
202,15,60,2207.25,20-617-25,25,1.52,FALSE
203,18.5,60,2727.18,20-618-25,25,1.23,FALSE
204,18.5,60,2727.18,25-619-25,25,1.86,FALSE
205,22,60,3237.3,30-618-25,25,1.04,FALSE
206,22,60,3237.3,30-619-25,25,1.56,FALSE
207,30,60,4414.5,40-619-25,25,1.15,FALSE
208,0.2,52,34.14,02-608-29,29,1.20,FALSE
209,0.2,52,34.14,02-609-29,29,3.35,FALSE
210,0.4,52,68.28,05-609-29,29,1.68,FALSE
211,0.75,52,127.53,1-610-29,29,1.84,FALSE
212,1.5,52,256.04,2-611-29,29,1.90,FALSE
213,2.2,52,375.72,3-611-29,29,1.30,FALSE
214,2.2,52,375.72,3-613-29,29,2.00,FALSE
215,3.7,52,631.76,5-613-29,29,1.19,FALSE
216,3.7,52,631.76,5-614-29,29,1.31,FALSE
217,5.5,52,938.82,8-615-29,29,1.06,FALSE
218,5.5,52,938.82,8-616-29,29,1.76,FALSE
219,7.5,52,1285.11,10-616-29,29,1.29,FALSE
220,7.5,52,1285.11,10-617-29,29,1.91,FALSE
221,11,52,1873.71,15-617-29,29,1.30,FALSE
222,11,52,1873.71,15-618-29,29,1.67,FALSE
223,15,52,2560.41,20-618-29,29,1.23,FALSE
224,15,52,2560.41,20-619-29,29,2.01,FALSE
225,18.5,52,3158.82,25-618-29,29,1.00,FALSE
226,18.5,52,3158.82,25-619-29,29,1.63,FALSE
227,22,52,3757.23,30-619-29,29,1.37,FALSE
228,22,52,3757.23,30-620-29,29,1.78,FALSE
229,30,52,5120.82,40-619-29,29,1.00,FALSE
230,30,52,5120.82,40-620-29,29,1.34,FALSE
231,37,52,6317.64,50-620-29,29,1.06,FALSE
232,37,52,6317.64,50-621-29,29,1.29,FALSE
233,45,52,7681.23,60-621-29,29,1.06,FALSE
234,45,52,7681.23,60-622-29,29,1.19,FALSE
235,55,52,9388.17,75-622-29,29,1.00,FALSE
236,0.2,43,41.2,02-608-35,35,1.20,FALSE
237,0.2,43,41.2,02-309-35,35,2.90,FALSE
238,0.4,43,82.4,05-609-35,35,1.45,FALSE
239,0.4,43,82.4,05-610-35,35,2.55,FALSE
240,0.75,43,155,1-610-35,35,1.36,FALSE
241,0.75,43,155,1-611-35,35,3.23,FALSE
242,1.5,43,309.02,2-611-35,35,1.61,FALSE
243,1.5,43,309.02,2-613-35,35,2.43,FALSE
244,2.2,43,453.22,3-611-35,35,1.10,FALSE
245,2.2,43,453.22,3-613-35,35,1.65,FALSE
246,3.7,43,762.24,5-613-35,35,1.00,FALSE
247,3.7,43,762.24,5-614-35,35,1.25,FALSE
248,5.5,43,1137.96,8-616-35,35,1.57,FALSE
249,5.5,43,1137.96,8-617-35,35,2.27,FALSE
250,7.5,43,1549.98,10-616-35,35,1.15,FALSE
251,7.5,43,1549.98,10-617-35,35,1.67,FALSE
252,11,43,2266.11,15-617-35,35,1.14,FALSE
253,11,43,2266.11,15-618-35,35,1.68,FALSE
254,15,43,3090.15,20-618-35,35,1.23,FALSE
255,15,43,3090.15,20-619-35,35,1.58,FALSE
256,18.5,43,3816.09,25-618-35,35,1.00,FALSE
257,18.5,43,3816.09,25-619-35,35,1.28,FALSE
258,22,43,4532.22,30-619-35,35,1.08,FALSE
259,0.2,35,50.62,02-608-43,43,1.00,FALSE
260,0.2,35,50.62,02-609-43,43,2.50,FALSE
261,0.4,35,101.04,05-609-43,43,1.25,FALSE
262,0.4,35,101.04,05-610-43,43,2.32,FALSE
263,0.75,35,190.31,1-610-43,43,1.24,FALSE
264,0.75,35,190.31,1-611-43,43,2.56,FALSE
265,1.5,35,379.65,2-611-43,43,1.28,FALSE
266,1.5,35,379.65,2-613-43,43,1.97,FALSE
267,2.2,35,557.21,3-613-43,43,1.34,FALSE
268,2.2,35,557.21,3-614-43,43,1.44,FALSE
269,3.7,35,936.86,5-615-43,43,1.04,FALSE
270,3.7,35,936.86,5-616-43,43,1.83,FALSE
271,5.5,35,1393.02,8-616-43,43,1.23,FALSE
272,5.5,35,1393.02,8-617-43,43,1.69,FALSE
273,7.5,35,1903.14,10-617-43,43,1.24,FALSE
274,7.5,35,1903.14,10-618-43,43,2.00,FALSE
275,11,35,2786.04,15-618-43,43,1.36,FALSE
276,11,35,2786.04,15-619-43,43,1.86,FALSE
277,15,35,3796.47,20-618-43,43,1.00,FALSE
278,15,35,3796.47,20-619-43,43,1.37,FALSE
279,18.5,35,4679.37,25-619-43,43,1.11,FALSE
280,18.5,35,4679.37,25-620-43,43,1.48,FALSE
281,22,35,5572.08,30-620-43,43,1.24,FALSE
282,22,35,5572.08,30-621-43,43,1.70,FALSE
283,30,35,7592.94,40-621-43,43,1.24,FALSE
284,30,35,7592.94,40-622-43,43,1.52,FALSE
285,37,35,9368.55,50-621-43,43,1.01,FALSE
286,37,35,9368.55,50-622-43,43,1.24,FALSE
287,45,35,11389.41,60-622-43,43,1.02,FALSE
288,0.2,29,60.04,02-609-51,51,1.80,FALSE
289,0.4,29,119.68,05-610-51,51,1.68,FALSE
290,0.75,29,225.63,1-611-51,51,2.21,FALSE
291,1.5,29,450.28,2-611-51,51,1.11,FALSE
292,1.5,29,450.28,2-613-51,51,1.67,FALSE
293,2.2,29,660.21,3-613-51,51,1.14,FALSE
294,2.2,29,660.21,3-614-51,51,1.35,FALSE
295,3.7,29,1108.53,5-616-51,51,1.54,FALSE
296,3.7,29,1108.53,5-617-51,51,2.25,FALSE
297,5.5,29,1648.08,8-616-51,51,1.04,FALSE
298,5.5,29,1648.08,8-617-51,51,1.52,FALSE
299,7.5,29,2256.3,10-617-51,51,1.11,FALSE
300,7.5,29,2256.3,10-618-51,51,1.52,FALSE
301,11,29,3305.97,15-618-51,51,1.04,FALSE
302,11,29,3305.97,15-619-51,51,1.63,FALSE
303,15,29,4502.79,20-619-51,51,1.19,FALSE
304,0.2,25,69.45,02-609-59,59,1.65,FALSE
305,0.4,25,139.3,05-610-59,59,1.50,FALSE
306,0.4,25,139.3,05-611-59,59,3.42,FALSE
307,0.75,25,260.95,1-611-59,59,1.83,FALSE
308,1.5,25,520.91,2-613-59,59,1.43,FALSE
309,1.5,25,520.91,2-614-59,59,1.87,FALSE
310,2.2,25,764.2,3-614-59,59,1.27,FALSE
311,2.2,25,764.2,3-615-59,59,1.28,FALSE
312,3.7,25,1285.11,5-616-59,59,1.34,FALSE
313,3.7,25,1285.11,5-617-59,59,1.97,FALSE
